"formula","CoreID","presence","Incubation_Temp","A_priori_CUE","n"
"C10H16O6","45C_5",1,"45C","Low",4
"C10H16O6","45C_6",1,"45C","High",4
"C10H16O6","45C_7",1,"45C","High",4
"C10H16O6","45C_8",1,"45C","Low",4
"C14H16O3","15C_1",1,"15C","High",4
"C14H16O3","15C_2",1,"15C","Low",4
"C14H16O3","15C_3",1,"15C","Low",4
"C14H16O3","15C_4",1,"15C","High",4
"C14H16O3","15C_5",1,"15C","Low",4
"C14H16O3","15C_6",1,"15C","High",4
"C14H16O3","15C_7",1,"15C","High",4
"C14H16O3","15C_8",1,"15C","Low",4
"C14H16O3","25C_1",1,"25C","High",4
"C14H16O3","25C_2",1,"25C","Low",4
"C14H16O3","25C_3",1,"25C","Low",4
"C14H16O3","25C_4",1,"25C","High",4
"C14H16O3","25C_5",1,"25C","Low",4
"C14H16O3","25C_6",1,"25C","High",4
"C14H16O3","25C_7",1,"25C","High",4
"C14H16O3","25C_8",1,"25C","Low",4
"C14H16O3","45C_1",1,"45C","High",4
"C14H16O3","45C_2",1,"45C","Low",3
"C14H16O3","45C_3",1,"45C","Low",3
"C14H16O3","45C_4",1,"45C","High",4
"C14H16O3","45C_5",1,"45C","Low",3
"C14H16O3","45C_6",1,"45C","High",4
"C14H16O3","45C_7",1,"45C","High",4
"C11H20O5","15C_1",1,"15C","High",8
"C11H20O5","15C_2",1,"15C","Low",8
"C11H20O5","15C_3",1,"15C","Low",8
"C11H20O5","15C_4",1,"15C","High",8
"C11H20O5","15C_5",1,"15C","Low",8
"C11H20O5","15C_6",1,"15C","High",8
"C11H20O5","15C_7",1,"15C","High",8
"C11H20O5","15C_8",1,"15C","Low",8
"C11H20O5","25C_1",1,"25C","High",8
"C11H20O5","25C_2",1,"25C","Low",8
"C11H20O5","25C_3",1,"25C","Low",8
"C11H20O5","25C_4",1,"25C","High",8
"C11H20O5","25C_5",1,"25C","Low",8
"C11H20O5","25C_6",1,"25C","High",8
"C11H20O5","25C_7",1,"25C","High",8
"C11H20O5","25C_8",1,"25C","Low",8
"C11H20O5","45C_1",1,"45C","High",8
"C11H20O5","45C_2",1,"45C","Low",8
"C11H20O5","45C_3",1,"45C","Low",8
"C11H20O5","45C_4",1,"45C","High",8
"C11H20O5","45C_5",1,"45C","Low",8
"C11H20O5","45C_6",1,"45C","High",8
"C11H20O5","45C_7",1,"45C","High",8
"C11H20O5","45C_8",1,"45C","Low",8
"C12H24O4","25C_1",1,"25C","High",3
"C12H24O4","25C_6",1,"25C","High",3
"C12H24O4","25C_7",1,"25C","High",3
"C12H24O4","45C_1",1,"45C","High",3
"C12H24O4","45C_2",1,"45C","Low",3
"C12H24O4","45C_3",1,"45C","Low",3
"C12H24O4","45C_5",1,"45C","Low",3
"C12H24O4","45C_6",1,"45C","High",3
"C12H24O4","45C_7",1,"45C","High",3
"C12H10O5","15C_1",1,"15C","High",4
"C12H10O5","15C_2",1,"15C","Low",4
"C12H10O5","15C_3",1,"15C","Low",4
"C12H10O5","15C_4",1,"15C","High",4
"C12H10O5","15C_5",1,"15C","Low",4
"C12H10O5","15C_6",1,"15C","High",4
"C12H10O5","15C_7",1,"15C","High",4
"C12H10O5","15C_8",1,"15C","Low",4
"C12H10O5","25C_1",1,"25C","High",3
"C12H10O5","25C_2",1,"25C","Low",4
"C12H10O5","25C_3",1,"25C","Low",4
"C12H10O5","25C_4",1,"25C","High",3
"C12H10O5","25C_5",1,"25C","Low",4
"C12H10O5","25C_6",1,"25C","High",3
"C12H10O5","25C_8",1,"25C","Low",4
"C12H10O5","45C_1",1,"45C","High",4
"C12H10O5","45C_2",1,"45C","Low",4
"C12H10O5","45C_3",1,"45C","Low",4
"C12H10O5","45C_4",1,"45C","High",4
"C12H10O5","45C_5",1,"45C","Low",4
"C12H10O5","45C_6",1,"45C","High",4
"C12H10O5","45C_7",1,"45C","High",4
"C12H10O5","45C_8",1,"45C","Low",4
"C10H14O4","15C_1",1,"15C","High",4
"C10H14O4","15C_2",1,"15C","Low",4
"C10H14O4","15C_3",1,"15C","Low",4
"C10H14O4","15C_4",1,"15C","High",4
"C10H14O4","15C_5",1,"15C","Low",4
"C10H14O4","15C_6",1,"15C","High",4
"C10H14O4","15C_7",1,"15C","High",4
"C10H14O4","15C_8",1,"15C","Low",4
"C10H14O4","25C_2",1,"25C","Low",4
"C10H14O4","25C_3",1,"25C","Low",4
"C10H14O4","25C_5",1,"25C","Low",4
"C10H14O4","25C_8",1,"25C","Low",4
"C13H14O4","15C_1",1,"15C","High",4
"C13H14O4","15C_2",1,"15C","Low",4
"C13H14O4","15C_3",1,"15C","Low",4
"C13H14O4","15C_4",1,"15C","High",4
"C13H14O4","15C_5",1,"15C","Low",4
"C13H14O4","15C_6",1,"15C","High",4
"C13H14O4","15C_7",1,"15C","High",4
"C13H14O4","15C_8",1,"15C","Low",4
"C13H14O4","25C_1",1,"25C","High",4
"C13H14O4","25C_2",1,"25C","Low",4
"C13H14O4","25C_3",1,"25C","Low",4
"C13H14O4","25C_4",1,"25C","High",4
"C13H14O4","25C_5",1,"25C","Low",4
"C13H14O4","25C_6",1,"25C","High",4
"C13H14O4","25C_7",1,"25C","High",4
"C13H14O4","25C_8",1,"25C","Low",4
"C13H14O4","45C_1",1,"45C","High",4
"C13H14O4","45C_2",1,"45C","Low",4
"C13H14O4","45C_3",1,"45C","Low",4
"C13H14O4","45C_4",1,"45C","High",4
"C13H14O4","45C_5",1,"45C","Low",4
"C13H14O4","45C_6",1,"45C","High",4
"C13H14O4","45C_7",1,"45C","High",4
"C13H14O4","45C_8",1,"45C","Low",4
"C10H18O4S1","15C_1",1,"15C","High",4
"C10H18O4S1","15C_2",1,"15C","Low",4
"C10H18O4S1","15C_3",1,"15C","Low",4
"C10H18O4S1","15C_4",1,"15C","High",4
"C10H18O4S1","15C_5",1,"15C","Low",4
"C10H18O4S1","15C_6",1,"15C","High",4
"C10H18O4S1","15C_7",1,"15C","High",4
"C10H18O4S1","15C_8",1,"15C","Low",4
"C10H18O4S1","25C_1",1,"25C","High",4
"C10H18O4S1","25C_2",1,"25C","Low",4
"C10H18O4S1","25C_3",1,"25C","Low",4
"C10H18O4S1","25C_4",1,"25C","High",4
"C10H18O4S1","25C_5",1,"25C","Low",4
"C10H18O4S1","25C_6",1,"25C","High",4
"C10H18O4S1","25C_7",1,"25C","High",4
"C10H18O4S1","25C_8",1,"25C","Low",4
"C10H18O4S1","45C_1",1,"45C","High",4
"C10H18O4S1","45C_4",1,"45C","High",4
"C10H18O4S1","45C_6",1,"45C","High",4
"C10H18O4S1","45C_7",1,"45C","High",4
"C10H18O6","25C_1",1,"25C","High",4
"C10H18O6","25C_4",1,"25C","High",4
"C10H18O6","25C_6",1,"25C","High",4
"C10H18O6","25C_7",1,"25C","High",4
"C10H18O6","45C_1",1,"45C","High",4
"C10H18O6","45C_2",1,"45C","Low",4
"C10H18O6","45C_3",1,"45C","Low",4
"C10H18O6","45C_4",1,"45C","High",4
"C10H18O6","45C_5",1,"45C","Low",4
"C10H18O6","45C_6",1,"45C","High",4
"C10H18O6","45C_7",1,"45C","High",4
"C10H18O6","45C_8",1,"45C","Low",4
"C14H18O3","15C_1",1,"15C","High",4
"C14H18O3","15C_2",1,"15C","Low",4
"C14H18O3","15C_3",1,"15C","Low",4
"C14H18O3","15C_4",1,"15C","High",4
"C14H18O3","15C_5",1,"15C","Low",4
"C14H18O3","15C_6",1,"15C","High",4
"C14H18O3","15C_7",1,"15C","High",4
"C14H18O3","15C_8",1,"15C","Low",4
"C14H18O3","25C_1",1,"25C","High",4
"C14H18O3","25C_2",1,"25C","Low",4
"C14H18O3","25C_3",1,"25C","Low",4
"C14H18O3","25C_4",1,"25C","High",4
"C14H18O3","25C_5",1,"25C","Low",4
"C14H18O3","25C_6",1,"25C","High",4
"C14H18O3","25C_7",1,"25C","High",4
"C14H18O3","25C_8",1,"25C","Low",4
"C14H18O3","45C_1",1,"45C","High",4
"C14H18O3","45C_2",1,"45C","Low",4
"C14H18O3","45C_3",1,"45C","Low",4
"C14H18O3","45C_4",1,"45C","High",4
"C14H18O3","45C_5",1,"45C","Low",4
"C14H18O3","45C_6",1,"45C","High",4
"C14H18O3","45C_7",1,"45C","High",4
"C14H18O3","45C_8",1,"45C","Low",4
"C11H22O5","25C_1",1,"25C","High",4
"C11H22O5","25C_4",1,"25C","High",4
"C11H22O5","25C_6",1,"25C","High",4
"C11H22O5","25C_7",1,"25C","High",4
"C11H22O5","45C_1",1,"45C","High",4
"C11H22O5","45C_2",1,"45C","Low",3
"C11H22O5","45C_4",1,"45C","High",4
"C11H22O5","45C_5",1,"45C","Low",3
"C11H22O5","45C_6",1,"45C","High",4
"C11H22O5","45C_7",1,"45C","High",4
"C11H22O5","45C_8",1,"45C","Low",3
"C15H22O2","15C_1",1,"15C","High",4
"C15H22O2","15C_2",1,"15C","Low",4
"C15H22O2","15C_3",1,"15C","Low",4
"C15H22O2","15C_4",1,"15C","High",4
"C15H22O2","15C_5",1,"15C","Low",4
"C15H22O2","15C_6",1,"15C","High",4
"C15H22O2","15C_7",1,"15C","High",4
"C15H22O2","15C_8",1,"15C","Low",4
"C15H22O2","25C_1",1,"25C","High",4
"C15H22O2","25C_2",1,"25C","Low",4
"C15H22O2","25C_3",1,"25C","Low",4
"C15H22O2","25C_4",1,"25C","High",4
"C15H22O2","25C_5",1,"25C","Low",4
"C15H22O2","25C_6",1,"25C","High",4
"C15H22O2","25C_7",1,"25C","High",4
"C15H22O2","25C_8",1,"25C","Low",4
"C15H22O2","45C_1",1,"45C","High",4
"C15H22O2","45C_2",1,"45C","Low",4
"C15H22O2","45C_3",1,"45C","Low",4
"C15H22O2","45C_4",1,"45C","High",4
"C15H22O2","45C_5",1,"45C","Low",4
"C15H22O2","45C_6",1,"45C","High",4
"C15H22O2","45C_7",1,"45C","High",4
"C15H22O2","45C_8",1,"45C","Low",4
"C12H13O4N1","25C_1",1,"25C","High",3
"C12H13O4N1","25C_6",1,"25C","High",3
"C12H13O4N1","25C_7",1,"25C","High",3
"C12H13O4N1","45C_2",1,"45C","Low",3
"C12H13O4N1","45C_5",1,"45C","Low",3
"C12H13O4N1","45C_8",1,"45C","Low",3
"C11H8O6","15C_1",1,"15C","High",4
"C11H8O6","15C_4",1,"15C","High",4
"C11H8O6","15C_6",1,"15C","High",4
"C11H8O6","15C_7",1,"15C","High",4
"C11H8O6","25C_1",1,"25C","High",4
"C11H8O6","25C_4",1,"25C","High",4
"C11H8O6","25C_6",1,"25C","High",4
"C11H8O6","25C_7",1,"25C","High",4
"C11H8O6","45C_1",1,"45C","High",4
"C11H8O6","45C_2",1,"45C","Low",4
"C11H8O6","45C_3",1,"45C","Low",4
"C11H8O6","45C_4",1,"45C","High",4
"C11H8O6","45C_5",1,"45C","Low",4
"C11H8O6","45C_6",1,"45C","High",4
"C11H8O6","45C_7",1,"45C","High",4
"C11H8O6","45C_8",1,"45C","Low",4
"C12H12O5","15C_1",1,"15C","High",4
"C12H12O5","15C_2",1,"15C","Low",4
"C12H12O5","15C_3",1,"15C","Low",4
"C12H12O5","15C_4",1,"15C","High",4
"C12H12O5","15C_5",1,"15C","Low",4
"C12H12O5","15C_6",1,"15C","High",4
"C12H12O5","15C_7",1,"15C","High",4
"C12H12O5","15C_8",1,"15C","Low",4
"C12H12O5","25C_1",1,"25C","High",4
"C12H12O5","25C_2",1,"25C","Low",4
"C12H12O5","25C_3",1,"25C","Low",4
"C12H12O5","25C_4",1,"25C","High",4
"C12H12O5","25C_5",1,"25C","Low",4
"C12H12O5","25C_6",1,"25C","High",4
"C12H12O5","25C_7",1,"25C","High",4
"C12H12O5","25C_8",1,"25C","Low",4
"C12H12O5","45C_1",1,"45C","High",4
"C12H12O5","45C_2",1,"45C","Low",4
"C12H12O5","45C_3",1,"45C","Low",4
"C12H12O5","45C_4",1,"45C","High",4
"C12H12O5","45C_5",1,"45C","Low",4
"C12H12O5","45C_6",1,"45C","High",4
"C12H12O5","45C_7",1,"45C","High",4
"C12H12O5","45C_8",1,"45C","Low",4
"C10H16O4","15C_1",1,"15C","High",4
"C10H16O4","15C_2",1,"15C","Low",4
"C10H16O4","15C_3",1,"15C","Low",4
"C10H16O4","15C_4",1,"15C","High",4
"C10H16O4","15C_5",1,"15C","Low",4
"C10H16O4","15C_6",1,"15C","High",4
"C10H16O4","15C_7",1,"15C","High",4
"C10H16O4","15C_8",1,"15C","Low",4
"C10H16O4","25C_1",1,"25C","High",4
"C10H16O4","25C_2",1,"25C","Low",4
"C10H16O4","25C_3",1,"25C","Low",4
"C10H16O4","25C_4",1,"25C","High",4
"C10H16O4","25C_5",1,"25C","Low",4
"C10H16O4","25C_6",1,"25C","High",4
"C10H16O4","25C_7",1,"25C","High",4
"C10H16O4","25C_8",1,"25C","Low",4
"C10H16O4","45C_1",1,"45C","High",4
"C10H16O4","45C_2",1,"45C","Low",4
"C10H16O4","45C_3",1,"45C","Low",4
"C10H16O4","45C_4",1,"45C","High",4
"C10H16O4","45C_5",1,"45C","Low",4
"C10H16O4","45C_6",1,"45C","High",4
"C10H16O4","45C_7",1,"45C","High",4
"C10H16O4","45C_8",1,"45C","Low",4
"C13H16O4","15C_1",1,"15C","High",4
"C13H16O4","15C_2",1,"15C","Low",5
"C13H16O4","15C_3",1,"15C","Low",5
"C13H16O4","15C_4",1,"15C","High",4
"C13H16O4","15C_5",1,"15C","Low",5
"C13H16O4","15C_6",1,"15C","High",4
"C13H16O4","15C_7",1,"15C","High",4
"C13H16O4","15C_8",1,"15C","Low",5
"C13H16O4","25C_1",1,"25C","High",4
"C13H16O4","25C_2",1,"25C","Low",6
"C13H16O4","25C_3",1,"25C","Low",6
"C13H16O4","25C_4",1,"25C","High",4
"C13H16O4","25C_5",1,"25C","Low",6
"C13H16O4","25C_6",1,"25C","High",4
"C13H16O4","25C_7",1,"25C","High",4
"C13H16O4","25C_8",1,"25C","Low",6
"C13H16O4","45C_1",1,"45C","High",4
"C13H16O4","45C_2",1,"45C","Low",4
"C13H16O4","45C_3",1,"45C","Low",4
"C13H16O4","45C_4",1,"45C","High",4
"C13H16O4","45C_5",1,"45C","Low",4
"C13H16O4","45C_6",1,"45C","High",4
"C13H16O4","45C_7",1,"45C","High",4
"C13H16O4","45C_8",1,"45C","Low",4
"C14H20O3","15C_1",1,"15C","High",4
"C14H20O3","15C_2",1,"15C","Low",4
"C14H20O3","15C_3",1,"15C","Low",4
"C14H20O3","15C_4",1,"15C","High",4
"C14H20O3","15C_5",1,"15C","Low",4
"C14H20O3","15C_6",1,"15C","High",4
"C14H20O3","15C_7",1,"15C","High",4
"C14H20O3","15C_8",1,"15C","Low",4
"C14H20O3","25C_1",1,"25C","High",4
"C14H20O3","25C_2",1,"25C","Low",4
"C14H20O3","25C_3",1,"25C","Low",4
"C14H20O3","25C_4",1,"25C","High",4
"C14H20O3","25C_5",1,"25C","Low",4
"C14H20O3","25C_6",1,"25C","High",4
"C14H20O3","25C_7",1,"25C","High",4
"C14H20O3","25C_8",1,"25C","Low",4
"C14H20O3","45C_1",1,"45C","High",4
"C14H20O3","45C_2",1,"45C","Low",4
"C14H20O3","45C_3",1,"45C","Low",4
"C14H20O3","45C_4",1,"45C","High",4
"C14H20O3","45C_5",1,"45C","Low",4
"C14H20O3","45C_6",1,"45C","High",4
"C14H20O3","45C_7",1,"45C","High",4
"C14H20O3","45C_8",1,"45C","Low",4
"C10H6O5S1","15C_2",1,"15C","Low",3
"C10H6O5S1","15C_5",1,"15C","Low",3
"C10H6O5S1","15C_8",1,"15C","Low",3
"C11H10O6","15C_1",1,"15C","High",4
"C11H10O6","15C_2",1,"15C","Low",4
"C11H10O6","15C_3",1,"15C","Low",4
"C11H10O6","15C_4",1,"15C","High",4
"C11H10O6","15C_5",1,"15C","Low",4
"C11H10O6","15C_6",1,"15C","High",4
"C11H10O6","15C_7",1,"15C","High",4
"C11H10O6","15C_8",1,"15C","Low",4
"C11H10O6","25C_1",1,"25C","High",4
"C11H10O6","25C_2",1,"25C","Low",4
"C11H10O6","25C_3",1,"25C","Low",4
"C11H10O6","25C_4",1,"25C","High",4
"C11H10O6","25C_5",1,"25C","Low",4
"C11H10O6","25C_6",1,"25C","High",4
"C11H10O6","25C_7",1,"25C","High",4
"C11H10O6","25C_8",1,"25C","Low",4
"C11H10O6","45C_1",1,"45C","High",4
"C11H10O6","45C_2",1,"45C","Low",4
"C11H10O6","45C_3",1,"45C","Low",4
"C11H10O6","45C_4",1,"45C","High",4
"C11H10O6","45C_5",1,"45C","Low",4
"C11H10O6","45C_6",1,"45C","High",4
"C11H10O6","45C_7",1,"45C","High",4
"C11H10O6","45C_8",1,"45C","Low",4
"C12H14O5","15C_1",1,"15C","High",4
"C12H14O5","15C_2",1,"15C","Low",5
"C12H14O5","15C_3",1,"15C","Low",5
"C12H14O5","15C_4",1,"15C","High",4
"C12H14O5","15C_5",1,"15C","Low",5
"C12H14O5","15C_6",1,"15C","High",4
"C12H14O5","15C_7",1,"15C","High",4
"C12H14O5","15C_8",1,"15C","Low",5
"C12H14O5","25C_1",1,"25C","High",5
"C12H14O5","25C_2",1,"25C","Low",6
"C12H14O5","25C_3",1,"25C","Low",6
"C12H14O5","25C_4",1,"25C","High",5
"C12H14O5","25C_5",1,"25C","Low",6
"C12H14O5","25C_6",1,"25C","High",5
"C12H14O5","25C_7",1,"25C","High",5
"C12H14O5","25C_8",1,"25C","Low",6
"C12H14O5","45C_1",1,"45C","High",4
"C12H14O5","45C_2",1,"45C","Low",7
"C12H14O5","45C_3",1,"45C","Low",7
"C12H14O5","45C_4",1,"45C","High",4
"C12H14O5","45C_5",1,"45C","Low",7
"C12H14O5","45C_6",1,"45C","High",4
"C12H14O5","45C_7",1,"45C","High",4
"C12H14O5","45C_8",1,"45C","Low",7
"C10H18O4","15C_1",1,"15C","High",4
"C10H18O4","15C_4",1,"15C","High",4
"C10H18O4","15C_6",1,"15C","High",4
"C10H18O4","15C_7",1,"15C","High",4
"C10H18O4","25C_1",1,"25C","High",4
"C10H18O4","25C_4",1,"25C","High",4
"C10H18O4","25C_6",1,"25C","High",4
"C10H18O4","25C_7",1,"25C","High",4
"C10H18O4","45C_1",1,"45C","High",4
"C10H18O4","45C_2",1,"45C","Low",4
"C10H18O4","45C_3",1,"45C","Low",4
"C10H18O4","45C_4",1,"45C","High",4
"C10H18O4","45C_5",1,"45C","Low",4
"C10H18O4","45C_6",1,"45C","High",4
"C10H18O4","45C_7",1,"45C","High",4
"C10H18O4","45C_8",1,"45C","Low",4
"C13H18O4","15C_1",1,"15C","High",7
"C13H18O4","15C_2",1,"15C","Low",8
"C13H18O4","15C_3",1,"15C","Low",8
"C13H18O4","15C_4",1,"15C","High",7
"C13H18O4","15C_5",1,"15C","Low",8
"C13H18O4","15C_6",1,"15C","High",7
"C13H18O4","15C_7",1,"15C","High",7
"C13H18O4","15C_8",1,"15C","Low",8
"C13H18O4","25C_1",1,"25C","High",8
"C13H18O4","25C_2",1,"25C","Low",8
"C13H18O4","25C_3",1,"25C","Low",8
"C13H18O4","25C_4",1,"25C","High",8
"C13H18O4","25C_5",1,"25C","Low",8
"C13H18O4","25C_6",1,"25C","High",8
"C13H18O4","25C_7",1,"25C","High",8
"C13H18O4","25C_8",1,"25C","Low",8
"C13H18O4","45C_1",1,"45C","High",8
"C13H18O4","45C_2",1,"45C","Low",8
"C13H18O4","45C_3",1,"45C","Low",8
"C13H18O4","45C_4",1,"45C","High",8
"C13H18O4","45C_5",1,"45C","Low",8
"C13H18O4","45C_6",1,"45C","High",8
"C13H18O4","45C_7",1,"45C","High",8
"C13H18O4","45C_8",1,"45C","Low",8
"C14H22O3","15C_1",1,"15C","High",4
"C14H22O3","15C_2",1,"15C","Low",4
"C14H22O3","15C_3",1,"15C","Low",4
"C14H22O3","15C_4",1,"15C","High",4
"C14H22O3","15C_5",1,"15C","Low",4
"C14H22O3","15C_6",1,"15C","High",4
"C14H22O3","15C_7",1,"15C","High",4
"C14H22O3","15C_8",1,"15C","Low",4
"C14H22O3","25C_1",1,"25C","High",4
"C14H22O3","25C_2",1,"25C","Low",4
"C14H22O3","25C_3",1,"25C","Low",4
"C14H22O3","25C_4",1,"25C","High",4
"C14H22O3","25C_5",1,"25C","Low",4
"C14H22O3","25C_6",1,"25C","High",4
"C14H22O3","25C_7",1,"25C","High",4
"C14H22O3","25C_8",1,"25C","Low",4
"C14H22O3","45C_1",1,"45C","High",4
"C14H22O3","45C_2",1,"45C","Low",4
"C14H22O3","45C_3",1,"45C","Low",4
"C14H22O3","45C_4",1,"45C","High",4
"C14H22O3","45C_5",1,"45C","Low",4
"C14H22O3","45C_6",1,"45C","High",4
"C14H22O3","45C_7",1,"45C","High",4
"C14H22O3","45C_8",1,"45C","Low",4
"C11H13O5N1","15C_1",1,"15C","High",4
"C11H13O5N1","15C_2",1,"15C","Low",4
"C11H13O5N1","15C_3",1,"15C","Low",4
"C11H13O5N1","15C_4",1,"15C","High",4
"C11H13O5N1","15C_5",1,"15C","Low",4
"C11H13O5N1","15C_6",1,"15C","High",4
"C11H13O5N1","15C_7",1,"15C","High",4
"C11H13O5N1","15C_8",1,"15C","Low",4
"C11H13O5N1","25C_2",1,"25C","Low",4
"C11H13O5N1","25C_3",1,"25C","Low",4
"C11H13O5N1","25C_4",1,"25C","High",3
"C11H13O5N1","25C_5",1,"25C","Low",4
"C11H13O5N1","25C_6",1,"25C","High",3
"C11H13O5N1","25C_7",1,"25C","High",3
"C11H13O5N1","25C_8",1,"25C","Low",4
"C11H13O5N1","45C_1",1,"45C","High",4
"C11H13O5N1","45C_2",1,"45C","Low",4
"C11H13O5N1","45C_3",1,"45C","Low",4
"C11H13O5N1","45C_4",1,"45C","High",4
"C11H13O5N1","45C_5",1,"45C","Low",4
"C11H13O5N1","45C_6",1,"45C","High",4
"C11H13O5N1","45C_7",1,"45C","High",4
"C11H13O5N1","45C_8",1,"45C","Low",4
"C11H12O6","15C_1",1,"15C","High",4
"C11H12O6","15C_2",1,"15C","Low",4
"C11H12O6","15C_3",1,"15C","Low",4
"C11H12O6","15C_4",1,"15C","High",4
"C11H12O6","15C_5",1,"15C","Low",4
"C11H12O6","15C_6",1,"15C","High",4
"C11H12O6","15C_7",1,"15C","High",4
"C11H12O6","15C_8",1,"15C","Low",4
"C11H12O6","25C_1",1,"25C","High",4
"C11H12O6","25C_2",1,"25C","Low",4
"C11H12O6","25C_3",1,"25C","Low",4
"C11H12O6","25C_4",1,"25C","High",4
"C11H12O6","25C_5",1,"25C","Low",4
"C11H12O6","25C_6",1,"25C","High",4
"C11H12O6","25C_7",1,"25C","High",4
"C11H12O6","25C_8",1,"25C","Low",4
"C11H12O6","45C_1",1,"45C","High",4
"C11H12O6","45C_2",1,"45C","Low",4
"C11H12O6","45C_3",1,"45C","Low",4
"C11H12O6","45C_4",1,"45C","High",4
"C11H12O6","45C_5",1,"45C","Low",4
"C11H12O6","45C_6",1,"45C","High",4
"C11H12O6","45C_7",1,"45C","High",4
"C11H12O6","45C_8",1,"45C","Low",4
"C12H16O5","15C_1",1,"15C","High",8
"C12H16O5","15C_2",1,"15C","Low",8
"C12H16O5","15C_3",1,"15C","Low",8
"C12H16O5","15C_4",1,"15C","High",8
"C12H16O5","15C_5",1,"15C","Low",8
"C12H16O5","15C_6",1,"15C","High",8
"C12H16O5","15C_7",1,"15C","High",8
"C12H16O5","15C_8",1,"15C","Low",8
"C12H16O5","25C_1",1,"25C","High",8
"C12H16O5","25C_2",1,"25C","Low",8
"C12H16O5","25C_3",1,"25C","Low",8
"C12H16O5","25C_4",1,"25C","High",8
"C12H16O5","25C_5",1,"25C","Low",8
"C12H16O5","25C_6",1,"25C","High",8
"C12H16O5","25C_7",1,"25C","High",8
"C12H16O5","25C_8",1,"25C","Low",8
"C12H16O5","45C_1",1,"45C","High",8
"C12H16O5","45C_2",1,"45C","Low",8
"C12H16O5","45C_3",1,"45C","Low",8
"C12H16O5","45C_4",1,"45C","High",8
"C12H16O5","45C_5",1,"45C","Low",8
"C12H16O5","45C_6",1,"45C","High",8
"C12H16O5","45C_7",1,"45C","High",8
"C12H16O5","45C_8",1,"45C","Low",8
"C10H20O4","45C_1",1,"45C","High",4
"C10H20O4","45C_2",1,"45C","Low",3
"C10H20O4","45C_4",1,"45C","High",4
"C10H20O4","45C_5",1,"45C","Low",3
"C10H20O4","45C_6",1,"45C","High",4
"C10H20O4","45C_7",1,"45C","High",4
"C10H20O4","45C_8",1,"45C","Low",3
"C13H20O4","15C_1",1,"15C","High",8
"C13H20O4","15C_2",1,"15C","Low",8
"C13H20O4","15C_3",1,"15C","Low",8
"C13H20O4","15C_4",1,"15C","High",8
"C13H20O4","15C_5",1,"15C","Low",8
"C13H20O4","15C_6",1,"15C","High",8
"C13H20O4","15C_7",1,"15C","High",8
"C13H20O4","15C_8",1,"15C","Low",8
"C13H20O4","25C_1",1,"25C","High",8
"C13H20O4","25C_2",1,"25C","Low",8
"C13H20O4","25C_3",1,"25C","Low",8
"C13H20O4","25C_4",1,"25C","High",8
"C13H20O4","25C_5",1,"25C","Low",8
"C13H20O4","25C_6",1,"25C","High",8
"C13H20O4","25C_7",1,"25C","High",8
"C13H20O4","25C_8",1,"25C","Low",8
"C13H20O4","45C_1",1,"45C","High",8
"C13H20O4","45C_2",1,"45C","Low",8
"C13H20O4","45C_3",1,"45C","Low",8
"C13H20O4","45C_4",1,"45C","High",8
"C13H20O4","45C_5",1,"45C","Low",8
"C13H20O4","45C_6",1,"45C","High",8
"C13H20O4","45C_7",1,"45C","High",8
"C13H20O4","45C_8",1,"45C","Low",8
"C14H24O3","15C_2",1,"15C","Low",4
"C14H24O3","15C_3",1,"15C","Low",4
"C14H24O3","15C_4",1,"15C","High",3
"C14H24O3","15C_5",1,"15C","Low",4
"C14H24O3","15C_6",1,"15C","High",3
"C14H24O3","15C_7",1,"15C","High",3
"C14H24O3","15C_8",1,"15C","Low",4
"C14H24O3","25C_2",1,"25C","Low",4
"C14H24O3","25C_3",1,"25C","Low",4
"C14H24O3","25C_5",1,"25C","Low",4
"C14H24O3","25C_8",1,"25C","Low",4
"C14H24O3","45C_1",1,"45C","High",4
"C14H24O3","45C_2",1,"45C","Low",3
"C14H24O3","45C_3",1,"45C","Low",3
"C14H24O3","45C_4",1,"45C","High",4
"C14H24O3","45C_5",1,"45C","Low",3
"C14H24O3","45C_6",1,"45C","High",4
"C14H24O3","45C_7",1,"45C","High",4
"C10H10O7","15C_2",1,"15C","Low",3
"C10H10O7","15C_5",1,"15C","Low",3
"C10H10O7","15C_8",1,"15C","Low",3
"C10H10O7","25C_2",1,"25C","Low",3
"C10H10O7","25C_5",1,"25C","Low",3
"C10H10O7","25C_8",1,"25C","Low",3
"C14H10O4","15C_1",1,"15C","High",4
"C14H10O4","15C_2",1,"15C","Low",4
"C14H10O4","15C_3",1,"15C","Low",4
"C14H10O4","15C_4",1,"15C","High",4
"C14H10O4","15C_5",1,"15C","Low",4
"C14H10O4","15C_6",1,"15C","High",4
"C14H10O4","15C_7",1,"15C","High",4
"C14H10O4","15C_8",1,"15C","Low",4
"C14H10O4","25C_1",1,"25C","High",4
"C14H10O4","25C_2",1,"25C","Low",4
"C14H10O4","25C_3",1,"25C","Low",4
"C14H10O4","25C_4",1,"25C","High",4
"C14H10O4","25C_5",1,"25C","Low",4
"C14H10O4","25C_6",1,"25C","High",4
"C14H10O4","25C_7",1,"25C","High",4
"C14H10O4","25C_8",1,"25C","Low",4
"C14H10O4","45C_1",1,"45C","High",4
"C14H10O4","45C_2",1,"45C","Low",4
"C14H10O4","45C_3",1,"45C","Low",4
"C14H10O4","45C_4",1,"45C","High",4
"C14H10O4","45C_5",1,"45C","Low",4
