"formula","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C11H16O3","unsaturated/lignin","unsaturated/lignin",0.2632,-0.9091,1.45,0.27,1,4,0.0909
"C10H16O6","aliphatic","aliphatic",0,-0.4,1.6,0.6,-3,3,-0.3
"C14H16O3","unsaturated/lignin","unsaturated/lignin",0.44,-0.7143,1.14,0.21,4,7,0.2857
"C11H20O5","aliphatic","aliphatic",-0.0588,-0.9091,1.82,0.45,-3,2,-0.2727
"C15H20O2","unsaturated/lignin","unsaturated/lignin",0.3571,-1.0667,1.33,0.13,4,6,0.2667
"C12H24O4","aliphatic","lipid",-0.1,-1.3333,2,0.33,-3,1,-0.25
"C13H15O3N1","unsaturated/lignin","unsaturated/lignin",0.4286,-0.4615,1.15,0.23,3,7,0.2308
"C8H10O6S1","unsaturated/lignin","unsaturated/lignin",0,0.5,1.25,0.75,-3,4,-0.375
"C12H10O5","aromatic","aromatic",0.5789,0,0.83,0.42,3,8,0.25
"C10H14O4","unsaturated/lignin","unsaturated/lignin",0.25,-0.6,1.4,0.4,0,4,0
"C13H14O4","unsaturated/lignin","unsaturated/lignin",0.4545,-0.4615,1.08,0.31,3,7,0.2308
"C10H18O4S1","aliphatic","aliphatic",-0.1429,-0.8,1.8,0.4,-3,2,-0.3
"C11H18O3","aliphatic","aliphatic",0.1579,-1.0909,1.64,0.27,0,3,0
"C14H18O1S1","unsaturated/lignin","unsaturated/lignin",0.36,-1,1.29,0.07,4,6,0.2857
"C10H18O6","aliphatic","aliphatic",-0.1429,-0.6,1.8,0.6,-4,2,-0.4
"C14H18O3","unsaturated/lignin","unsaturated/lignin",0.36,-0.8571,1.29,0.21,3,6,0.2143
"C11H22O5","aliphatic","lipid",-0.1765,-1.0909,2,0.45,-4,1,-0.3636
"C15H22O2","unsaturated/lignin","unsaturated/lignin",0.2857,-1.2,1.47,0.13,3,5,0.2
"C12H13O4N1","unsaturated/lignin","unsaturated/lignin",0.4444,-0.1667,1.08,0.33,2,7,0.1667
"C13H17O3N1","unsaturated/lignin","unsaturated/lignin",0.3333,-0.6154,1.31,0.23,2,6,0.1538
"C11H8O6","aromatic","aromatic",0.625,0.3636,0.73,0.55,2,8,0.1818
"C12H12O5","unsaturated/lignin","unsaturated/lignin",0.4737,-0.1667,1,0.42,2,7,0.1667
"C10H16O4","aliphatic","aliphatic",0.125,-0.8,1.6,0.4,-1,3,-0.1
"C13H16O4","unsaturated/lignin","unsaturated/lignin",0.3636,-0.6154,1.23,0.31,2,6,0.1538
"C11H20O3","aliphatic","aliphatic",0.0526,-1.2727,1.82,0.27,-1,2,-0.0909
"C14H20O3","unsaturated/lignin","unsaturated/lignin",0.28,-1,1.43,0.21,2,5,0.1429
"C11H11O5N1","unsaturated/lignin","unsaturated/lignin",0.4667,0.1818,1,0.45,1,7,0.0909
"C12H15O4N1","unsaturated/lignin","unsaturated/lignin",0.3333,-0.3333,1.25,0.33,1,6,0.0833
"C10H6O5S1","condensed aromatic","condensed aromatic",0.6923,0.6,0.6,0.5,2,8,0.2
"C11H10O6","unsaturated/lignin","unsaturated/lignin",0.5,0.1818,0.91,0.55,1,7,0.0909
"C12H14O5","unsaturated/lignin","unsaturated/lignin",0.3684,-0.3333,1.17,0.42,1,6,0.0833
"C10H18O4","aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"C16H14O2","aromatic","aromatic",0.6,-0.625,0.88,0.12,8,10,0.5
"C13H18O4","unsaturated/lignin","unsaturated/lignin",0.2727,-0.7692,1.38,0.31,1,5,0.0769
"C10H22O4S1","aliphatic","lipid",-0.4286,-1.2,2.2,0.4,-5,0,-0.5
"C14H22O3","aliphatic","aliphatic",0.2,-1.1429,1.57,0.21,1,4,0.0714
"C11H13O5N1","unsaturated/lignin","unsaturated/lignin",0.3333,0,1.18,0.45,0,6,0
"C12H17O4N1","unsaturated/lignin","unsaturated/lignin",0.2222,-0.5,1.42,0.33,0,5,0
"C14H8O4","condensed aromatic","condensed aromatic",0.75,0,0.57,0.29,7,11,0.5
"C11H12O6","unsaturated/lignin","unsaturated/lignin",0.375,0,1.09,0.55,0,6,0
"C12H16O5","unsaturated/lignin","unsaturated/lignin",0.2632,-0.5,1.33,0.42,0,5,0
"C9H20O5S1","aliphatic","lipid",-0.6364,-0.8889,2.22,0.56,-6,0,-0.6667
"C10H20O4","aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"C13H20O2S1","aliphatic","aliphatic",0.1818,-1.0769,1.54,0.15,1,4,0.0769
"C13H20O4","aliphatic","aliphatic",0.1818,-0.9231,1.54,0.31,0,4,0
"C14H24O3","aliphatic","aliphatic",0.12,-1.2857,1.71,0.21,0,3,0
"C12H15O2N1","unsaturated/lignin","unsaturated/lignin",0.4,-0.6667,1.25,0.17,3,6,0.25
"C9H19O4N1","aliphatic","lipid",-0.3333,-0.8889,2.11,0.44,-4,1,-0.4444
"C10H10O5S1","unsaturated/lignin","unsaturated/lignin",0.3846,0.2,1,0.5,0,6,0
"C10H10O7","unsaturated/lignin","unsaturated/lignin",0.3846,0.4,1,0.7,-1,6,-0.1
"C14H10O4","condensed aromatic","condensed aromatic",0.6667,-0.1429,0.71,0.29,6,10,0.4286
"C11H14O6","unsaturated/lignin","unsaturated/lignin",0.25,-0.1818,1.27,0.55,-1,5,-0.0909
"C15H14O3","aromatic","aromatic",0.5556,-0.5333,0.93,0.2,6,9,0.4
"C12H18O5","aliphatic","aliphatic",0.1579,-0.6667,1.5,0.42,-1,4,-0.0833
"C16H18O2","unsaturated/lignin","unsaturated/lignin",0.4667,-0.875,1.12,0.12,6,8,0.375
"C13H22O4","aliphatic","aliphatic",0.0909,-1.0769,1.69,0.31,-1,3,-0.0769
"C14H26O3","aliphatic","aliphatic",0.04,-1.4286,1.86,0.21,-1,2,-0.0714
"C15H30O2","aliphatic","lipid",0,-1.7333,2,0.13,-1,1,-0.0667
"C11H17O5N1","aliphatic","aliphatic+N",0.0667,-0.3636,1.55,0.45,-2,4,-0.1818
"C13H25O3N1","aliphatic","aliphatic+N",-0.0476,-1.2308,1.92,0.23,-2,2,-0.1538
"C10H12O5S1","unsaturated/lignin","unsaturated/lignin",0.2308,0,1.2,0.5,-1,5,-0.1
"C10H12O7","unsaturated/lignin","unsaturated/lignin",0.2308,0.2,1.2,0.7,-2,5,-0.2
"C14H12O4","aromatic","aromatic",0.5833,-0.2857,0.86,0.29,5,9,0.3571
"C11H16O6","unsaturated/lignin","unsaturated/lignin",0.125,-0.3636,1.45,0.55,-2,4,-0.1818
"C9H20O5","aliphatic","lipid",-0.3846,-1.1111,2.22,0.56,-5,0,-0.5556
"C12H20O5","aliphatic","aliphatic",0.0526,-0.8333,1.67,0.42,-2,3,-0.1667
"C16H20O2","unsaturated/lignin","unsaturated/lignin",0.4,-1,1.25,0.12,5,7,0.3125
"C13H24O4","aliphatic","aliphatic",0,-1.2308,1.85,0.31,-2,2,-0.1538
"C9H10O6S1","unsaturated/lignin","unsaturated/lignin",0.2,0.4444,1.11,0.67,-2,5,-0.2222
"C13H10O5","aromatic","aromatic",0.619,0,0.77,0.38,4,9,0.3077
"C10H14O5S1","unsaturated/lignin","unsaturated/lignin",0.0769,-0.2,1.4,0.5,-2,4,-0.2
"C11H14O4","unsaturated/lignin","unsaturated/lignin",0.3333,-0.5455,1.27,0.36,1,5,0.0909
"C14H14O4","unsaturated/lignin","unsaturated/lignin",0.5,-0.4286,1,0.29,4,8,0.2857
"C11H18O6","aliphatic","aliphatic",0,-0.5455,1.64,0.55,-3,3,-0.2727
"C15H18O3","unsaturated/lignin","unsaturated/lignin",0.4074,-0.8,1.2,0.2,4,7,0.2667
"C12H22O5","aliphatic","aliphatic",-0.0526,-1,1.83,0.42,-3,2,-0.25
"C13H26O4","aliphatic","lipid",-0.0909,-1.3846,2,0.31,-3,1,-0.2308
"C14H17O3N1","unsaturated/lignin","unsaturated/lignin",0.3913,-0.5714,1.21,0.21,3,7,0.2143
"C12H8O6","condensed aromatic","condensed aromatic",0.6667,0.3333,0.67,0.5,3,9,0.25
"C13H12O5","aromatic","aromatic",0.5238,-0.1538,0.92,0.38,3,8,0.2308
"C10H16O5S1","aliphatic","aliphatic",-0.0769,-0.4,1.6,0.5,-3,3,-0.3
"C11H16O4","unsaturated/lignin","unsaturated/lignin",0.2222,-0.7273,1.45,0.36,0,4,0
"C14H16O4","unsaturated/lignin","unsaturated/lignin",0.4167,-0.5714,1.14,0.29,3,7,0.2143
"C12H20O3","aliphatic","aliphatic",0.1429,-1.1667,1.67,0.25,0,3,0
"C11H20O6","aliphatic","aliphatic",-0.125,-0.7273,1.82,0.55,-4,2,-0.3636
"C15H20O3","unsaturated/lignin","unsaturated/lignin",0.3333,-0.9333,1.33,0.2,3,6,0.2
"C12H24O5","aliphatic","lipid",-0.1579,-1.1667,2,0.42,-4,1,-0.3333
"C16H24O2","aliphatic","aliphatic",0.2667,-1.25,1.5,0.12,3,5,0.1875
"C13H15O4N1","unsaturated/lignin","unsaturated/lignin",0.4,-0.3077,1.15,0.31,2,7,0.1538
"C14H19O3N1","unsaturated/lignin","unsaturated/lignin",0.3043,-0.7143,1.36,0.21,2,6,0.1429
"C12H11O4P1","aromatic","aromatic",0.5556,-0.25,0.92,0.33,3,8,0.25
"C12H10O6","aromatic","aromatic",0.5556,0.1667,0.83,0.5,2,8,0.1667
"C10H14O5","unsaturated/lignin","unsaturated/lignin",0.2,-0.4,1.4,0.5,-1,4,-0.1
"C13H14O5","unsaturated/lignin","unsaturated/lignin",0.4286,-0.3077,1.08,0.38,2,7,0.1538
"C10H18O5S1","aliphatic","aliphatic",-0.2308,-0.6,1.8,0.5,-4,2,-0.4
"C11H18O4","aliphatic","aliphatic",0.1111,-0.9091,1.64,0.36,-1,3,-0.0909
"C14H18O4","unsaturated/lignin","unsaturated/lignin",0.3333,-0.7143,1.29,0.29,2,6,0.1429
"C11H23O4P1","aliphatic","lipid",-0.25,-1.3636,2.09,0.36,-4,1,-0.3636
"C15H22O3","unsaturated/lignin","unsaturated/lignin",0.2593,-1.0667,1.47,0.2,2,5,0.1333
"C12H26O3S1","aliphatic","lipid",-0.2632,-1.5,2.17,0.25,-4,0,-0.3333
"C12H13O5N1","unsaturated/lignin","unsaturated/lignin",0.4118,0,1.08,0.42,1,7,0.0833
"C13H17O4N1","unsaturated/lignin","unsaturated/lignin",0.3,-0.4615,1.31,0.31,1,6,0.0769
"C14H21O3N1","aliphatic","aliphatic+N",0.2174,-0.8571,1.5,0.21,1,5,0.0714
"C11H8O7","aromatic","aromatic",0.6,0.5455,0.73,0.64,1,8,0.0909
"C12H12O6","unsaturated/lignin","unsaturated/lignin",0.4444,0,1,0.5,1,7,0.0833
"C10H16O5","aliphatic","aliphatic",0.0667,-0.6,1.6,0.5,-2,3,-0.2
"C13H16O3S1","unsaturated/lignin","unsaturated/lignin",0.3333,-0.6154,1.23,0.23,2,6,0.1538
"C13H16O5","unsaturated/lignin","unsaturated/lignin",0.3333,-0.4615,1.23,0.38,1,6,0.0769
"C10H20O5S1","aliphatic","lipid",-0.3846,-0.8,2,0.5,-5,1,-0.5
"C11H20O4","aliphatic","aliphatic",0,-1.0909,1.82,0.36,-2,2,-0.1818
"C17H16O2","aromatic","aromatic",0.5625,-0.7059,0.94,0.12,8,10,0.4706
"C14H20O4","unsaturated/lignin","unsaturated/lignin",0.25,-0.8571,1.43,0.29,1,5,0.0714
"C11H24O4S1","aliphatic","lipid",-0.375,-1.2727,2.18,0.36,-5,0,-0.4545
"C15H24O3","aliphatic","aliphatic",0.1852,-1.2,1.6,0.2,1,4,0.0667
"C11H11O6N1","unsaturated/lignin","unsaturated/lignin",0.4286,0.3636,1,0.55,0,7,0
"C12H15O5N1","unsaturated/lignin","unsaturated/lignin",0.2941,-0.1667,1.25,0.42,0,6,0
"C13H19O4N1","unsaturated/lignin","unsaturated/lignin",0.2,-0.6154,1.46,0.31,0,5,0
"C11H10O7","unsaturated/lignin","unsaturated/lignin",0.4667,0.3636,0.91,0.64,0,7,0
"C15H10O4","condensed aromatic","condensed aromatic",0.6923,-0.1333,0.67,0.27,7,11,0.4667
"C12H14O6","unsaturated/lignin","unsaturated/lignin",0.3333,-0.1667,1.17,0.5,0,6,0
"C9H18O6S1","aliphatic","lipid",-0.6,-0.4444,2,0.67,-6,1,-0.6667
"C10H18O5","aliphatic","aliphatic",-0.0667,-0.8,1.8,0.5,-3,2,-0.3
"C16H14O3","aromatic","aromatic",0.5862,-0.5,0.88,0.19,7,10,0.4375
"C13H18O3S1","unsaturated/lignin","unsaturated/lignin",0.2381,-0.7692,1.38,0.23,1,5,0.0769
"C13H18O5","unsaturated/lignin","unsaturated/lignin",0.2381,-0.6154,1.38,0.38,0,5,0
"C10H22O5S1","aliphatic","lipid",-0.5385,-1,2.2,0.5,-6,0,-0.6
"C11H22O4","aliphatic","lipid",-0.1111,-1.2727,2,0.36,-3,1,-0.2727
"C14H22O4","aliphatic","aliphatic",0.1667,-1,1.57,0.29,0,4,0
"C15H26O3","aliphatic","aliphatic",0.1111,-1.3333,1.73,0.2,0,3,0
"C11H13O6N1","unsaturated/lignin","unsaturated/lignin",0.2857,0.1818,1.18,0.55,-1,6,-0.0909
"C12H17O5N1","unsaturated/lignin","unsaturated/lignin",0.1765,-0.3333,1.42,0.42,-1,5,-0.0833
"C13H21O4N1","aliphatic","aliphatic+N",0.1,-0.7692,1.62,0.31,-1,4,-0.0769
"C11H12O5S1","unsaturated/lignin","unsaturated/lignin",0.3333,0,1.09,0.45,0,6,0
"C11H12O7","unsaturated/lignin","unsaturated/lignin",0.3333,0.1818,1.09,0.64,-1,6,-0.0909
"C15H12O4","aromatic","aromatic",0.6154,-0.2667,0.8,0.27,6,10,0.4
"C12H16O4S1","unsaturated/lignin","unsaturated/lignin",0.2222,-0.5,1.33,0.33,0,5,0
"C12H16O6","unsaturated/lignin","unsaturated/lignin",0.2222,-0.3333,1.33,0.5,-1,5,-0.0833
"C9H20O6S1","aliphatic","lipid",-0.8,-0.6667,2.22,0.67,-7,0,-0.7778
"C16H16O3","aromatic","aromatic",0.5172,-0.625,1,0.19,6,9,0.375
"C13H20O3S1","aliphatic","aliphatic",0.1429,-0.9231,1.54,0.23,0,4,0
"C13H20O5","aliphatic","aliphatic",0.1429,-0.7692,1.54,0.38,-1,4,-0.0769
"C14H24O4","aliphatic","aliphatic",0.0833,-1.1429,1.71,0.29,-1,3,-0.0714
"C15H28O3","aliphatic","aliphatic",0.037,-1.4667,1.87,0.2,-1,2,-0.0667
"C16H32O2","aliphatic","lipid",0,-1.75,2,0.12,-1,1,-0.0625
"C11H15O4N1S1","unsaturated/lignin","unsaturated/lignin",0.1429,-0.1818,1.36,0.36,-1,5,-0.0909
"C12H19O5N1","aliphatic","aliphatic+N",0.0588,-0.5,1.58,0.42,-2,4,-0.1667
"C14H10O5","aromatic","aromatic",0.6522,0,0.71,0.36,5,10,0.3571
"C11H14O5S1","unsaturated/lignin","unsaturated/lignin",0.2,-0.1818,1.27,0.45,-1,5,-0.0909
"C11H14O7","unsaturated/lignin","unsaturated/lignin",0.2,0,1.27,0.64,-2,5,-0.1818
"C15H14O4","aromatic","aromatic",0.5385,-0.4,0.93,0.27,5,9,0.3333
"C12H18O6","aliphatic","aliphatic",0.1111,-0.5,1.5,0.5,-2,4,-0.1667
"C13H22O5","aliphatic","aliphatic",0.0476,-0.9231,1.69,0.38,-2,3,-0.1538
"C17H22O2","unsaturated/lignin","unsaturated/lignin",0.375,-1.0588,1.29,0.12,5,7,0.2941
"C14H26O4","aliphatic","aliphatic",0,-1.2857,1.86,0.29,-2,2,-0.1429
"C12H21O5N1","aliphatic","aliphatic+N",-0.0588,-0.6667,1.75,0.42,-3,3,-0.25
"C13H25O4N1","aliphatic","aliphatic+N",-0.1,-1.0769,1.92,0.31,-3,2,-0.2308
"C13H8O6","condensed aromatic","condensed aromatic",0.7,0.3077,0.62,0.46,4,10,0.3077
"C10H12O6S1","unsaturated/lignin","unsaturated/lignin",0.1667,0.2,1.2,0.6,-2,5,-0.2
"C14H12O5","aromatic","aromatic",0.5652,-0.1429,0.86,0.36,4,9,0.2857
"C11H16O5S1","unsaturated/lignin","unsaturated/lignin",0.0667,-0.3636,1.45,0.45,-2,4,-0.1818
"C11H16O7","unsaturated/lignin","unsaturated/lignin",0.0667,-0.1818,1.45,0.64,-3,4,-0.2727
"C15H16O4","unsaturated/lignin","unsaturated/lignin",0.4615,-0.5333,1.07,0.27,4,8,0.2667
"C12H20O6","aliphatic","aliphatic",0,-0.6667,1.67,0.5,-3,3,-0.25
"C16H20O3","unsaturated/lignin","unsaturated/lignin",0.3793,-0.875,1.25,0.19,4,7,0.25
"C13H24O5","aliphatic","aliphatic",-0.0476,-1.0769,1.85,0.38,-3,2,-0.2308
"C14H28O4","aliphatic","lipid",-0.0833,-1.4286,2,0.29,-3,1,-0.2143
"C14H15O4N1","unsaturated/lignin","unsaturated/lignin",0.4545,-0.2857,1.07,0.29,3,8,0.2143
"C9H10O7S1","unsaturated/lignin","unsaturated/lignin",0.1111,0.6667,1.11,0.78,-3,5,-0.3333
"C13H10O6","aromatic","aromatic",0.6,0.1538,0.77,0.46,3,9,0.2308
"C10H14O6S1","unsaturated/lignin","unsaturated/lignin",0,0,1.4,0.6,-3,4,-0.3
"C14H14O5","unsaturated/lignin","unsaturated/lignin",0.4783,-0.2857,1,0.36,3,8,0.2143
"C11H18O5S1","aliphatic","aliphatic",-0.0667,-0.5455,1.64,0.45,-3,3,-0.2727
"C11H18O7","aliphatic","aliphatic",-0.0667,-0.3636,1.64,0.64,-4,3,-0.3636
"C15H18O4","unsaturated/lignin","unsaturated/lignin",0.3846,-0.6667,1.2,0.27,3,7,0.2
"C12H22O6","aliphatic","aliphatic",-0.1111,-0.8333,1.83,0.5,-4,2,-0.3333
"C16H22O3","unsaturated/lignin","unsaturated/lignin",0.3103,-1,1.38,0.19,3,6,0.1875
"C13H26O5","aliphatic","lipid",-0.1429,-1.2308,2,0.38,-4,1,-0.3077
"C17H26O2","aliphatic","aliphatic",0.25,-1.2941,1.53,0.12,3,5,0.1765
"C13H13O5N1","unsaturated/lignin","unsaturated/lignin",0.4737,0,1,0.38,2,8,0.1538
"C14H17O4N1","unsaturated/lignin","unsaturated/lignin",0.3636,-0.4286,1.21,0.29,2,7,0.1429
"C15H21O3N1","unsaturated/lignin","unsaturated/lignin",0.28,-0.8,1.4,0.2,2,6,0.1333
"C12H8O7","aromatic","aromatic",0.6471,0.5,0.67,0.58,2,9,0.1667
"C13H12O6","unsaturated/lignin","unsaturated/lignin",0.5,0,0.92,0.46,2,8,0.1538
"C10H16O6S1","aliphatic","aliphatic",-0.1667,-0.2,1.6,0.6,-4,3,-0.4
"C17H12O3","condensed aromatic","condensed aromatic",0.6774,-0.3529,0.71,0.18,9,12,0.5294
"C14H16O5","unsaturated/lignin","unsaturated/lignin",0.3913,-0.4286,1.14,0.36,2,7,0.1429
"C11H20O5S1","aliphatic","aliphatic",-0.2,-0.7273,1.82,0.45,-4,2,-0.3636
"C15H20O4","unsaturated/lignin","unsaturated/lignin",0.3077,-0.8,1.33,0.27,2,6,0.1333
"C12H25O4P1","aliphatic","lipid",-0.2222,-1.4167,2.08,0.33,-4,1,-0.3333
"C16H24O3","aliphatic","aliphatic",0.2414,-1.125,1.5,0.19,2,5,0.125
"C13H15O5N1","unsaturated/lignin","unsaturated/lignin",0.3684,-0.1538,1.15,0.38,1,7,0.0769
"C14H19O4N1","unsaturated/lignin","unsaturated/lignin",0.2727,-0.5714,1.36,0.29,1,6,0.0714
"C12H10O7","aromatic","aromatic",0.5294,0.3333,0.83,0.58,1,8,0.0833
"C13H14O6","unsaturated/lignin","unsaturated/lignin",0.4,-0.1538,1.08,0.46,1,7,0.0769
"C10H18O6S1","aliphatic","aliphatic",-0.3333,-0.4,1.8,0.6,-5,2,-0.5
"C14H18O5","unsaturated/lignin","unsaturated/lignin",0.3043,-0.5714,1.29,0.36,1,6,0.0714
"C11H22O5S1","aliphatic","lipid",-0.3333,-0.9091,2,0.45,-5,1,-0.4545
"C15H22O4","unsaturated/lignin","unsaturated/lignin",0.2308,-0.9333,1.47,0.27,1,5,0.0667
"C12H26O4S1","aliphatic","lipid",-0.3333,-1.3333,2.17,0.33,-5,0,-0.4167
"C16H26O3","aliphatic","aliphatic",0.1724,-1.25,1.62,0.19,1,4,0.0625
"C12H13O6N1","unsaturated/lignin","unsaturated/lignin",0.375,0.1667,1.08,0.5,0,7,0
"C13H17O5N1","unsaturated/lignin","unsaturated/lignin",0.2632,-0.3077,1.31,0.38,0,6,0
"C14H21O4N1","aliphatic","aliphatic+N",0.1818,-0.7143,1.5,0.29,0,5,0
"C12H12O5S1","unsaturated/lignin","unsaturated/lignin",0.4118,0,1,0.42,1,7,0.0833
"C12H12O7","unsaturated/lignin","unsaturated/lignin",0.4118,0.1667,1,0.58,0,7,0
"C13H16O6","unsaturated/lignin","unsaturated/lignin",0.3,-0.3077,1.23,0.46,0,6,0
"C10H20O6S1","aliphatic","lipid",-0.5,-0.6,2,0.6,-6,1,-0.6
"C17H16O3","aromatic","aromatic",0.5484,-0.5882,0.94,0.18,7,10,0.4118
"C14H20O5","unsaturated/lignin","unsaturated/lignin",0.2174,-0.7143,1.43,0.36,0,5,0
"C16H24O1","aliphatic","aliphatic",0.2903,-1.375,1.5,0.06,4,5,0.25
"C15H24O4","aliphatic","aliphatic",0.1538,-1.0667,1.6,0.27,0,4,0
"C12H15O4N1S1","unsaturated/lignin","unsaturated/lignin",0.25,-0.1667,1.25,0.33,0,6,0
"C12H15O6N1","unsaturated/lignin","unsaturated/lignin",0.25,0,1.25,0.5,-1,6,-0.0833
"C13H19O5N1","unsaturated/lignin","unsaturated/lignin",0.1579,-0.4615,1.46,0.38,-1,5,-0.0769
"C11H10O8","unsaturated/lignin","unsaturated/lignin",0.4286,0.5455,0.91,0.73,-1,7,-0.0909
"C15H10O5","condensed aromatic","condensed aromatic",0.68,0,0.67,0.33,6,11,0.4
"C12H14O5S1","unsaturated/lignin","unsaturated/lignin",0.2941,-0.1667,1.17,0.42,0,6,0
"C12H14O7","unsaturated/lignin","unsaturated/lignin",0.2941,0,1.17,0.58,-1,6,-0.0833
"C16H14O4","aromatic","aromatic",0.5714,-0.375,0.88,0.25,6,10,0.375
"C13H18O4S1","unsaturated/lignin","unsaturated/lignin",0.2,-0.6154,1.38,0.31,0,5,0
"C13H18O6","unsaturated/lignin","unsaturated/lignin",0.2,-0.4615,1.38,0.46,-1,5,-0.0769
"C10H22O6S1","aliphatic","lipid",-0.6667,-0.8,2.2,0.6,-7,0,-0.7
"C14H22O3S1","aliphatic","aliphatic",0.1304,-1,1.57,0.21,0,4,0
"C14H23O3P1","aliphatic","aliphatic",0.1304,-1.2143,1.64,0.21,0,4,0
"C14H22O5","aliphatic","aliphatic",0.1304,-0.8571,1.57,0.36,-1,4,-0.0714
"C18H22O2","unsaturated/lignin","unsaturated/lignin",0.4118,-1,1.22,0.11,6,8,0.3333
"C15H26O4","aliphatic","aliphatic",0.0769,-1.2,1.73,0.27,-1,3,-0.0667
"C16H30O3","aliphatic","aliphatic",0.0345,-1.5,1.88,0.19,-1,2,-0.0625
"C12H17O4N1S1","unsaturated/lignin","unsaturated/lignin",0.125,-0.3333,1.42,0.33,-1,5,-0.0833
